address,price,bedrooms,bathrooms,square_footage,property_type,year_built,lot_size,price_per_sqft,parking,state,city,url
"269 Holley St, Biloxi, MS 39530",200000.0,3.0,2.5,1250.0,Single-family,2013.0,5662.0,160.0,4.0,Mississippi,Biloxi,https://www.redfin.com/MS/Biloxi/269-Holley-St-39530/home/115968049
"132 Dukate St, Biloxi, MS 39530",350000.0,2.0,2.0,1378.0,Single-family,1900.0,5662.0,254.0,1.0,Mississippi,Biloxi,https://www.redfin.com/MS/Biloxi/132-Dukate-St-39530/home/116435551
"1130 Beach Blvd #408, Biloxi, MS 39530",280000.0,2.0,2.0,1517.0,Condo,1981.0,145926.0,185.0,0.0,Mississippi,Biloxi,https://www.redfin.com/MS/Biloxi/1130-Beach-Blvd-39530/unit-408/home/197254678
"2350 Rue Maison, Biloxi, MS 39532",484000.0,4.0,3.5,2687.0,Single-family,2004.0,10890.0,180.0,2.0,Mississippi,Biloxi,https://www.redfin.com/MS/Biloxi/2350-Rue-Maison-39532/home/116275448
"11512 Holly Bluff Cir, Biloxi, MS 39532",355000.0,3.0,2.0,2043.0,Single-family,1996.0,44431.0,174.0,2.0,Mississippi,Biloxi,https://www.redfin.com/MS/Biloxi/11512-Holly-Bluff-Cir-39532/home/144304091
"14231 Woodland Hills Dr, Biloxi, MS 39532",350000.0,3.0,2.0,1954.0,Single-family,1993.0,339768.0,179.0,6.0,Mississippi,Biloxi,https://www.redfin.com/MS/Biloxi/14231-Woodland-Hills-Dr-39532/home/144300176
"15171 Haversham Pl, D'Iberville, MS 39540",295000.0,4.0,2.0,2547.0,Single-family,2006.0,9583.0,116.0,2.0,Mississippi,D'Iberville,https://www.redfin.com/MS/Diberville/15171-Haversham-Pl-39540/home/115991239
"345 Bowen St, Biloxi, MS 39530",250000.0,3.0,2.0,2219.0,Single-family,2007.0,5662.0,113.0,2.0,Mississippi,Biloxi,https://www.redfin.com/MS/Biloxi/345-Bowen-St-39530/home/116263312
"179 Gardenia St, Biloxi, MS 39531",119000.0,1.0,1.0,800.0,Single-family,1950.0,8712.0,149.0,2.0,Mississippi,Biloxi,https://www.redfin.com/MS/Biloxi/179-Gardenia-St-39531/home/116178164
"2013 Rue Ulysse, Biloxi, MS 39531",475000.0,4.0,2.5,3341.0,Single-family,1994.0,15681.0,142.0,0.0,Mississippi,Biloxi,https://www.redfin.com/MS/Biloxi/2013-Rue-Ulysse-39531/home/116180663
"5437 25th Ave SW, Seattle, WA 98106",950000.0,3.0,2.0,1440.0,Single-family,1929.0,4800.0,660.0,0.0,Washington,Seattle,https://www.redfin.com/WA/Seattle/5437-25th-Ave-SW-98106/home/158851
"2060 Beach Blvd #106, Biloxi, MS 39531",339900.0,2.0,2.0,1302.0,Condo,2007.0,443440.0,261.0,0.0,Mississippi,Biloxi,https://www.redfin.com/MS/Biloxi/2060-Beach-Blvd-39531/unit-106/home/115987968
"512 Peyton Dr, Biloxi, MS 39530",148000.0,2.0,1.0,933.0,Single-family,2008.0,6098.0,159.0,0.0,Mississippi,Biloxi,https://www.redfin.com/MS/Biloxi/512-Peyton-Dr-39530/home/115790848
"630 Bay Cove Dr #409, Biloxi, MS 39532",249900.0,2.0,2.0,1256.0,Condo,2012.0,54885.0,199.0,0.0,Mississippi,Biloxi,https://www.redfin.com/MS/Biloxi/630-Bay-Cove-Dr-39532/unit-409/home/187223863
"15173 Lorraine Rd, Biloxi, MS 39532",574000.0,3.0,2.0,2600.0,Single-family,1959.0,352836.0,221.0,3.0,Mississippi,Biloxi,https://www.redfin.com/MS/Biloxi/15173-Lorraine-Rd-39532/home/166375372
"2406 Bonne Terre Blvd, Biloxi, MS 39531",349000.0,3.0,2.0,2095.0,Single-family,2006.0,14374.0,167.0,0.0,Mississippi,Biloxi,https://www.redfin.com/MS/Biloxi/2406-Bonne-Terre-Blvd-39531/home/116167362
"251 Dewey Cir, Biloxi, MS 39531",230000.0,2.0,2.0,1473.0,Single-family,1950.0,7840.0,156.0,0.0,Mississippi,Biloxi,https://www.redfin.com/MS/Biloxi/251-Dewey-Cir-39531/home/116165043
"756 N 72nd St #102, Seattle, WA 98103",417000.0,1.0,1.0,601.0,Condo,1982.0,0.0,694.0,1.0,Washington,Seattle,https://www.redfin.com/WA/Seattle/756-N-72nd-St-98103/unit-102/home/16807
"615 N Haven Dr, Biloxi, MS 39532",325000.0,3.0,2.0,1858.0,Single-family,1980.0,13939.0,175.0,2.0,Mississippi,Biloxi,https://www.redfin.com/MS/Biloxi/615-N-Haven-Dr-39532/home/116017804
"8317 Wolcott Ave S, Seattle, WA 98118",689950.0,3.0,2.0,1603.0,Single-family,1951.0,6000.0,430.0,0.0,Washington,Seattle,https://www.redfin.com/WA/Seattle/8317-Wolcott-Ave-S-98118/home/174067
"143 Miramar Ave, Biloxi, MS 39530",525000.0,3.0,3.0,1808.0,Single-family,2025.0,6534.0,290.0,4.0,Mississippi,Biloxi,https://www.redfin.com/MS/Biloxi/143-Miramar-Ave-39530/home/191304840
