address,price,est_monthly_payment,bedrooms,bathrooms,square_footage,property_type,year_built,lot_size,price_per_sqft,parking,state,city,url
"269 Holley St, Biloxi, MS 39530",200000,,3,2.5,1250,Single-family,2013,5662,160,4,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/269-Holley-St-39530/home/115968049
"132 Dukate St, Biloxi, MS 39530",350000,,2,2,1378,Single-family,1900,5662,254,1,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/132-Dukate-St-39530/home/116435551
"1130 Beach Blvd #408, Biloxi, MS 39530",280000,,2,2,1517,Condo,1981,145926,185,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/1130-Beach-Blvd-39530/unit-408/home/197254678
"2350 Rue Maison, Biloxi, MS 39532",484000,,4,3.5,2687,Single-family,2004,10890,180,2,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2350-Rue-Maison-39532/home/116275448
"11512 Holly Bluff Cir, Biloxi, MS 39532",355000,,3,2,2043,Single-family,1996,44431,174,2,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/11512-Holly-Bluff-Cir-39532/home/144304091
"14231 Woodland Hills Dr, Biloxi, MS 39532",350000,,3,2,1954,Single-family,1993,339768,179,6,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/14231-Woodland-Hills-Dr-39532/home/144300176
"15171 Haversham Pl, D'Iberville, MS 39540",295000,,4,2,2547,Single-family,2006,9583,116,2,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Diberville/15171-Haversham-Pl-39540/home/115991239
,327900,,5,3,2100,Single-family,2025,13503,156,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/9574-Reserve-Blvd-39532/home/197172254
"345 Bowen St, Biloxi, MS 39530",250000,,3,2,2219,Single-family,2007,5662,113,2,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/345-Bowen-St-39530/home/116263312
"179 Gardenia St, Biloxi, MS 39531",119000,,1,1,800,Single-family,1950,8712,149,2,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/179-Gardenia-St-39531/home/116178164
"2013 Rue Ulysse, Biloxi, MS 39531",475000,,4,2.5,3341,Single-family,1994,15681,142,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2013-Rue-Ulysse-39531/home/116180663
"5437 25th Ave SW, Seattle, WA 98106",950000,,3,2,1440,Single-family,1929,4800,660,,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/5437-25th-Ave-SW-98106/home/158851
"2060 Beach Blvd #106, Biloxi, MS 39531",339900,,2,2,1302,Condo,2007,443440,261,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2060-Beach-Blvd-39531/unit-106/home/115987968
"512 Peyton Dr, Biloxi, MS 39530",148000,,2,1,933,Single-family,2008,6098,159,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/512-Peyton-Dr-39530/home/115790848
"630 Bay Cove Dr #409, Biloxi, MS 39532",249900,,2,2,1256,Condo,2012,54885,199,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/630-Bay-Cove-Dr-39532/unit-409/home/187223863
"15173 Lorraine Rd, Biloxi, MS 39532",574000,,3,2,2600,Single-family,1959,352836,221,3,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/15173-Lorraine-Rd-39532/home/166375372
