address,price,est_monthly_payment,bedrooms,bathrooms,square_footage,property_type,year_built,lot_size,price_per_sqft,parking,state,city,url
"179 Gardenia St, Biloxi, MS 39531",119000,,1,,800,Single-family,1950,8712,149,2 spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/179-Gardenia-St-39531/home/116178164
"1130 Beach Blvd #408, Biloxi, MS 39530",280000,,2,,1517,Condo,1981,145926,185,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/1130-Beach-Blvd-39530/unit-408/home/197254678
,327900,,5,,2100,Single-family,2025,13503,156,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/9574-Reserve-Blvd-39532/home/197172254
"2060 Beach Blvd #106, Biloxi, MS 39531",339900,,2,,1302,Condo,2007,443440,261,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2060-Beach-Blvd-39531/unit-106/home/115987968
"15316 Anderson Dr, Biloxi, MS 39532",185000,,4,,1377,Single-family,1980,9583,134,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/15316-Anderson-Dr-39532/home/119020822
"2046 Beach Blvd Unit C114, Biloxi, MS 39531",245000,,2,,1152,Condo,1982,203860,213,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2046-Beach-Blvd-39531/unit-C114/home/176881366
"10676 N Oak Crest Dr, Biloxi, MS 39532",269000,,3,,1732,Single-family,1996,17424,155,2 car,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/10676-Oak-Crest-Dr-N-39532/home/116540596
"11827 River Estates Cir, Biloxi, MS 39532",469000,,4,,2750,Single-family,2006,45302,171,10 spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/11827-River-Estates-Cir-39532/home/144300310
,388120,,4,,2114,Single-family,2025,4356,184,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/13824-Winterberry-Dr-39532/home/196322377
"143 Miramar Ave, Biloxi, MS 39530",525000,,3,,1808,Single-family,2025,6534,290,4 spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/143-Miramar-Ave-39530/home/191304840
"13086 Riverwalk Cir, D'Iberville, MS 39540",595000,,4,,3637,Single-family,2007,28749,164,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Diberville/13086-Riverwalk-Cir-39540/home/116012166
"269 Holley St, Biloxi, MS 39530",200000,,3,,1250,Single-family,2013,5662,160,4 spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/269-Holley-St-39530/home/115968049
"546 Howard Ave #2, Biloxi, MS 39531",435000,,3,,1812,Single-family,2025,5662,240,2 spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/546-Howard-Ave-39530/unit-2/home/168770046
"1282 Beach Blvd #118, Biloxi, MS 39530",169900,,1,,700,Condo,1965,,243,2 spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/1282-Beach-Blvd-39530/unit-118/home/148717578
"15405 Needle St, Biloxi, MS 39532",300000,,4,,1942,Single-family,2018,33541,154,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/15405-Needle-St-39532/home/166484293
"7919 Village Green Dr, Biloxi, MS 39532",399900,,3,,2239,Single-family,2020,11761,179,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/7919-Village-Green-Dr-39532/home/175196001
"1664 Beach Blvd Unit K168, Biloxi, MS 39531",134500,,1,,618,Condo,1967,,218,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/1664-Beach-Blvd-39531/unit-K168/home/194532769
"1664 Beach Blvd Unit H116, Biloxi, MS 39531",149999,,1,,618,Condo,1969,,243,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/1664-Beach-Blvd-39531/unit-H116/home/196915711
"630 Bay Cove Dr #409, Biloxi, MS 39532",249900,,2,,1256,Condo,2012,54885,199,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/630-Bay-Cove-Dr-39532/unit-409/home/187223863
"2013 Rue Ulysse, Biloxi, MS 39531",475000,,4,,3341,Single-family,1994,15681,142,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2013-Rue-Ulysse-39531/home/116180663
"16277 Mayhaw Dr, Biloxi, MS 39532",339000,"2,247",4,,2080,,,,,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/16277-Mayhaw-Dr-39532/home/116501826
"169 Dorries St, Biloxi, MS 39530",105000,,2,,848,Single-family,1930,7405,124,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/169-Dorries-St-39530/home/115986489
"345 Bowen St, Biloxi, MS 39530",250000,,3,,2219,Single-family,2007,5662,113,2  spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/345-Bowen-St-39530/home/116263312
"2146 Driftwood Dr, Biloxi, MS 39531",178000,,3,,1406,Single-family,1960,12196,127,1 space,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2146-Driftwood-Dr-39531/home/115984779
"12465 Old Cypress Creek Cv, D'Iberville, MS 39540",745000,,3,,2756,Single-family,2021,22651,270,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Diberville/12465-Old-Cypress-Creek-Cv-39540/home/115983977
"7400 Southwind Dr, Biloxi, MS 39532",219000,,3,,1700,Single-family,2005,8712,129,2 car,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/7400-Southwind-Dr-39532/home/119236739
